"id",id2,"unique_id","genus","species","sex",observedIT_mu,conversion_factor,ITlength_mm,head_width,head_length,head_depth,"tongue_type",cardo_mm,prementum_mm,glossa_mm,glossa_in_prem,tongue_mm,"measured_by","project","old_uniqueID","pixel_update","notes","note_2","X_val"
"1_1825",1,"1825","Agapostemon","sericeus","female",2.05,1,2.05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"W_lab",NULL,NULL,NULL,NULL,NULL,NULL
"10_1693",10,"1693","Agapostemon","texanus","female",1.95,1,1.95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"W_lab",NULL,NULL,NULL,NULL,NULL,NULL
"10_tongue2014_10",10,"tongue2014_10","Andrena","bradleyi","male",NULL,NULL,1.423836661,2.336727151,2.203881147,NULL,"",NULL,1.592767387,0.360995959,NULL,NULL,"J.Zientek","tongue2014","","","prementum measurement from the picture without the glossa","",""
"100_2683",100,"2683","Apis","mellifera","female",2.95,1,2.95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"W_lab",NULL,NULL,NULL,NULL,NULL,NULL
"100_tongue2014_100",100,"tongue2014_100","Andrena","robertsonii","female",NULL,NULL,1.582,2.504,2.099,NULL,"",NULL,1.186223529,0.264764811,NULL,NULL,"J.Zientek","tongue2014","","","glossa extremely rigid▀д▐ot sure if the measurement is great","",""
"1000_1269",1000,"1269","Ceratina","calcarata","unknown",49,3.5,1.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2009",NULL,NULL,"",NULL,NULL
"1001_1268",1001,"1268","Ceratina","calcarata","unknown",38,3.5,1.085714286,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2009",NULL,NULL,"",NULL,NULL
"1002_1266",1002,"1266","Ceratina","calcarata","unknown",43,3.5,1.228571429,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2009",NULL,NULL,"",NULL,NULL
"1003_1265",1003,"1265","Ceratina","calcarata","unknown",48,3.5,1.371428571,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2009",NULL,NULL,"",NULL,NULL
"1004_1259",1004,"1259","Osmia","virga","female",52,2,2.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,NULL,NULL,NULL
"1005_1250",1005,"1250","Bombus","vagans","unknown",46,1.5,3.066666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2009",NULL,NULL,"",NULL,NULL
"1006_1241",1006,"1241","Lasioglossum","creberrimum","female",33,3.5,0.942857143,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,"",NULL,NULL
"1007_1239",1007,"1239","Heriades","carinata","female",49,3.5,1.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,"",NULL,NULL
"1008_1232",1008,"1232","Osmia","virga","female",53.5,2,2.675,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,NULL,NULL,NULL
"1009_1231",1009,"1231","Osmia","virga","female",54,2,2.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,NULL,NULL,NULL
"101_972",101,"972","Apis","mellifera","female",2.8,1,2.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"W_lab",NULL,NULL,NULL,NULL,NULL,NULL
"101_tongue2014_101",101,"tongue2014_101","Megachile","frigida","male",NULL,NULL,3.08,4.036,3.698,NULL,"",NULL,1.869753009,2.481284042,NULL,NULL,"J.Zientek","tongue2014","","","","",""
"1010_1228",1010,"1228","Osmia","virga","female",54,2,2.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,NULL,NULL,NULL
"1011_1225",1011,"1225","Melitta","americana","male",39,2,1.95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,NULL,NULL,NULL
"1012_1223",1012,"1223","Melitta","americana","male",43,2,2.15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,NULL,NULL,NULL
"1013_1219",1013,"1219","Bombus","perplexus","female",52,1.5,3.466666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,"",NULL,NULL
"1014_1214",1014,"1214","Bombus","perplexus","male",53,1.5,3.533333333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,"",NULL,NULL
"1015_1204",1015,"1204","Melitta","americana","female",47,2,2.35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,NULL,NULL,NULL
"1016_1200",1016,"1200","Melitta","americana","female",52,2,2.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,NULL,NULL,NULL
"1017_1199",1017,"1199","Melitta","americana","female",52,2,2.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,NULL,NULL,NULL
"1018_1177",1018,"1177","Osmia","virga","female",51,2,2.55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,NULL,NULL,NULL
"1019_116",1019,"116","Bombus","perplexus","female",45,1.5,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,"",NULL,NULL
"102_1234",102,"1234","Augochlora","pura","female",1.72,1,1.72,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"W_lab",NULL,NULL,NULL,NULL,NULL,NULL
"102_tongue2014_102",102,"tongue2014_102","Megachile","exilis","male",NULL,NULL,1.932,2.886,2.316,NULL,"",NULL,1.382991624,1.918361021,NULL,NULL,"J.Zientek","tongue2014","","","","",""
"1020_1161",1020,"1161","Bombus","griseocollis","male",78,1.5,5.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,"",NULL,NULL
"1021_1160",1021,"1160","Bombus","griseocollis","male",76,1.5,5.066666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,"",NULL,NULL
"1022_1131",1022,"1131","Panurginus","atramontensis","unknown",47,3.5,1.342857143,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2009",NULL,NULL,"",NULL,NULL
"1023_110",1023,"110","Osmia","virga","female",48,2,2.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,NULL,NULL,NULL
"1024_108",1024,"108","Andrena","spiraeana","female",72,3.5,2.057142857,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,"",NULL,NULL
"1025_1074",1025,"1074","Melitta","americana","female",49,2,2.45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,NULL,NULL,NULL
"1026_1073",1026,"1073","Melitta","americana","female",46,2,2.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,NULL,NULL,NULL
"1027_1060",1027,"1060","Megachile","addenda","female",64,2,3.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,NULL,NULL,NULL
"1028_1047",1028,"1047","Bombus","griseocollis","female",64,1.5,4.266666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,"",NULL,NULL
"1029_1043",1029,"1043","Megachile","texana","female",64,2,3.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,NULL,NULL,NULL
"103_1904",103,"1904","Augochlora","pura","female",1.78,1,1.78,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"W_lab",NULL,NULL,NULL,NULL,NULL,NULL
"103_tongue2014_103",103,"tongue2014_103","Andrena","wilkella","female",NULL,NULL,2.194,3.428,2.858,NULL,"",NULL,1.690547155,0.602126217,NULL,NULL,"J.Zientek","tongue2014","","","","",""
"1030_1042",1030,"1042","Megachile","texana","female",61.5,2,3.075,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,NULL,NULL,NULL
"1031_1041",1031,"1041","Agapostemon","splendens","female",44,2,2.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,"",NULL,NULL
"1032_1022",1032,"1022","Ceratina","calcarata","unknown",50,3.5,1.428571429,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2009",NULL,NULL,"",NULL,NULL
"1033_1021",1033,"1021","Osmia","virga","female",52,2,2.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,NULL,NULL,NULL
"1034_1011",1034,"1011","Bombus","perplexus","male",55,1.5,3.666666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,"",NULL,NULL
"1035_1003",1035,"1003","Sphecodes","fattigi","female",45,3.5,1.285714286,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,"",NULL,NULL
"1036_526",1036,"526","Augochlorella","aurata","female",47,3,1.566666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MKS","Cran2009",NULL,NULL,"",NULL,NULL
"1037_520",1037,"520","Bombus","griseocollis","female",50,1.5,3.333333333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,"",NULL,NULL
"1038_523",1038,"523","Megachile","addenda","female",66,2,3.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,NULL,NULL,NULL
"1039_544",1039,"544","Lasioglossum","creberrimum","female",39,3.5,1.114285714,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,"",NULL,NULL
"104_1465",104,"1465","Augochlora","pura","female",1.5,1,1.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"W_lab",NULL,NULL,NULL,NULL,NULL,NULL
"1040_54",1040,"54","Ceratina","calcarata","unknown",43,3.5,1.228571429,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2009",NULL,NULL,"",NULL,NULL
"1041_570",1041,"570","Bombus","griseocollis","male",78,1.5,5.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,"",NULL,NULL
"1042_592",1042,"592","Bombus","griseocollis","male",78,1.5,5.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,"",NULL,NULL
"1043_593",1043,"593","Bombus","griseocollis","male",84,1.5,5.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,"",NULL,NULL
"1044_599",1044,"599","Bombus","griseocollis","male",86,1.5,5.733333333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,"",NULL,NULL
"1045_5",1045,"5","Melitta","americana","male",41,2,2.05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,NULL,NULL,NULL
"1046_612",1046,"612","Heriades","carinata","unknown",51,3.5,1.457142857,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2009",NULL,NULL,"",NULL,NULL
"1047_614",1047,"614","Heriades","carinata","unknown",42,3.5,1.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2009",NULL,NULL,"",NULL,NULL
"1048_646",1048,"646","Bombus","vagans","female",46,1.5,3.066666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,"",NULL,NULL
"1049_695",1049,"695","Ceratina","calcarata","female",41,3.5,1.171428571,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,"",NULL,NULL
"105_2086",105,"2086","Augochlora","pura","female",1.48,1,1.48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"W_lab",NULL,NULL,NULL,NULL,NULL,NULL
"105_tongue2014_105",105,"tongue2014_105","Andrena","imitatrix","male",NULL,NULL,1.565,2.549,2.163,NULL,"",NULL,1.175176191,0.320192933,NULL,NULL,"J.Zientek","tongue2014","","","","",""
"1050_706",1050,"706","Coelioxys","porterae","unknown",61,2.5,2.44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,"",NULL,NULL
"1051_721",1051,"721","Lasioglossum","subviridatum","female",41,3.5,1.171428571,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,"",NULL,NULL
"1052_728",1052,"728","Coelioxys","porterae","female",74,2.5,2.96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2009",NULL,NULL,"",NULL,NULL
"1053_72",1053,"72","Bombus","griseocollis","female",79,1.5,5.266666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,"",NULL,NULL
"1054_735",1054,"735","Augochloropsis","sumptuosa","female",53,2.5,2.12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,"",NULL,NULL
"1055_736",1055,"736","Augochloropsis","sumptuosa","female",56,2.5,2.24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,"",NULL,NULL
"1056_787",1056,"787","Melitta","americana","male",43,2,2.15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,NULL,NULL,NULL
"1057_78",1057,"78","Bombus","griseocollis","female",56,1.5,3.733333333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,"",NULL,NULL
"1058_7",1058,"7","Nomada","rodecki","female",39,2,1.95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,NULL,NULL,NULL
"1059_811",1059,"811","Melitta","americana","male",42,2,2.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,NULL,NULL,NULL
"106_3198",106,"3198","Augochlora","pura","female",1.52,1,1.52,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"W_lab",NULL,NULL,NULL,NULL,NULL,NULL
"1060_830",1060,"830","Panurginus","atramontensis","unknown",48.5,3.5,1.385714286,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2009",NULL,NULL,"",NULL,NULL
"1061_838",1061,"838","Osmia","virga","female",55,2,2.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,NULL,NULL,NULL
"1062_840",1062,"840","Ceratina","calcarata","unknown",46,3.5,1.314285714,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2009",NULL,NULL,"",NULL,NULL
"1063_854",1063,"854","Bombus","perplexus","male",56,1.5,3.733333333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,"",NULL,NULL
"1064_856",1064,"856","Bombus","perplexus","male",59,1.5,3.933333333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,"",NULL,NULL
"1065_858",1065,"858","Bombus","perplexus","female",56,1.5,3.733333333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,"",NULL,NULL
"1066_877",1066,"877","Agapostemon","splendens","female",47,2,2.35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,"",NULL,NULL
"1067_900",1067,"900","Bombus","perplexus","female",56,1.5,3.733333333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,"",NULL,NULL
"1068_918",1068,"918","Bombus","vagans","female",45,1.5,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,"",NULL,NULL
"1069_922",1069,"922","Bombus","vagans","female",46,1.5,3.066666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,"",NULL,NULL
"107_2632",107,"2632","Augochlorella","aurata","female",1.46,1,1.46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"W_lab",NULL,NULL,NULL,NULL,NULL,NULL
"1070_956",1070,"956","Bombus","perplexus","female",72,1.5,4.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,"",NULL,NULL
"1071_959",1071,"959","Bombus","griseocollis","male",67,1.5,4.466666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,"",NULL,NULL
"1072_95",1072,"95","Melitta","americana","male",41.5,2,2.075,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,NULL,NULL,NULL
"1073_963",1073,"963","Nomada","rodecki","female",48,2,2.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,NULL,NULL,NULL
"1074_97",1074,"97","Nomada","rodecki","female",47,2,2.35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,NULL,NULL,NULL
"1075_989",1075,"989","Bombus","perplexus","female",48,1.5,3.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,"",NULL,NULL
"1076_990",1076,"990","Megachile","mendica","female",65,2,3.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,NULL,NULL,NULL
"1077_527",1077,"527","Augochlorella","aurata","female",50,3,1.666666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MKS","Cran2009",NULL,NULL,"",NULL,NULL
"1078_946",1078,"946","Augochlorella","aurata","female",47,3,1.566666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MKS","Cran2009",NULL,NULL,"",NULL,NULL
"1079_813",1079,"813","Augochlorella","aurata","female",54,3,1.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MKS","Cran2009",NULL,NULL,"",NULL,NULL
"108_3216",108,"3216","Augochlorella","aurata","female",1.38,1,1.38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"W_lab",NULL,NULL,NULL,NULL,NULL,NULL
"108_tongue2014_108",108,"tongue2014_108","Habropoda","laboriosa","male",NULL,NULL,3.17655234,4.485964309,2.823032091,NULL,"",NULL,1.976203534,3.246780188,NULL,NULL,"J.Zientek","tongue2014","","","glossa bent. Could not straighten it out. Measured the main straight part_ and then I took the measurement of the smaller part","",""
"1080_1593",1080,"1593","Augochlorella","aurata","female",51,3,1.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MKS","Cran2010",NULL,NULL,"",NULL,NULL
"1081_1594",1081,"1594","Augochlorella","aurata","female",47,3,1.566666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MKS","Cran2010",NULL,NULL,"",NULL,NULL
"1082_320",1082,"320","Augochlorella","aurata","female",49,3,1.633333333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MKS","Cran2010",NULL,NULL,"",NULL,NULL
"1083_1107",1083,"1107","Bombus","pensylvanicus","female",64,1.5,4.266666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MKS","NRCS2010PMC",NULL,NULL,"",NULL,NULL
"1084_2732",1084,"2732","Bombus","pensylvanicus","female",68,1.5,4.533333333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MKS","NRCS2010PMC",NULL,NULL,"",NULL,NULL
"1085_3096",1085,"3096","Bombus","pensylvanicus","female",70,1.5,4.666666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MKS","NRCS2010PMC",NULL,NULL,"",NULL,NULL
"1086_2386",1086,"2386","Bombus","pensylvanicus","female",72,1.5,4.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MKS","NRCS2010PMC",NULL,NULL,"",NULL,NULL
"1087_3094",1087,"3094","Bombus","pensylvanicus","female",69,1.5,4.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MKS","NRCS2010PMC",NULL,NULL,"",NULL,NULL
"1088_3257",1088,"3257","Bombus","pensylvanicus","female",70,1.5,4.666666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MKS","NRCS2010PMC",NULL,NULL,"",NULL,NULL
"1089_3095",1089,"3095","Bombus","pensylvanicus","male",63,1.5,4.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MKS","NRCS2010PMC",NULL,NULL,"",NULL,NULL
"109_3226",109,"3226","Augochlorella","aurata","female",1.3,1,1.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"W_lab",NULL,NULL,NULL,NULL,NULL,NULL
"1090_2929",1090,"2929","Bombus","pensylvanicus","male",68,1.5,4.533333333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MKS","NRCS2010PMC",NULL,NULL,"",NULL,NULL
"1091_3850",1091,"3850","Colletes","simulans","female",41,1.5,2.733333333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MKS","NRCS2010PMC",NULL,NULL,"",NULL,NULL
"1092_3856",1092,"3856","Colletes","simulans","female",39,1.5,2.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MKS","NRCS2010PMC",NULL,NULL,"",NULL,NULL
"1093_4141",1093,"4141","Bombus","auricomus","male",70,1.5,4.666666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MKS","NRCS2010PMC",NULL,NULL,"",NULL,NULL
"1094_3199",1094,"3199","Bombus","auricomus","male",65,1.5,4.333333333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MKS","NRCS2010PMC",NULL,NULL,"",NULL,NULL
"1095_3770",1095,"3770","Coelioxys","sayi","male",54,2,2.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MKS","NRCS2010PMC",NULL,NULL,"counted antennae",NULL,NULL
"1096_3841",1096,"3841","Coelioxys","sayi","male",52,2,2.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MKS","NRCS2010PMC",NULL,NULL,"counted antennae",NULL,NULL
"1097_1997",1097,"1997","Coelioxys","octodentata","female",57,2,2.85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MKS","NRCS2010PMC",NULL,NULL,"",NULL,NULL
"1098_1788",1098,"1788","Coelioxys","octodentata","female",49,2,2.45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MKS","NRCS2010PMC",NULL,NULL,"",NULL,NULL
"1099_1803",1099,"1803","Coelioxys","octodentata","female",51,2,2.55,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MKS","NRCS2010PMC",NULL,NULL,"",NULL,NULL
"11_1692",11,"1692","Agapostemon","texanus","female",1.73,1,1.73,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"W_lab",NULL,NULL,NULL,NULL,NULL,NULL
"11_tongue2014_11",11,"tongue2014_11","Colletes","inaequalis","female",NULL,NULL,2.643294853,3.607279961,3.270055489,NULL,"",NULL,1.941568196,0.640596376,NULL,NULL,"J.Zientek","tongue2014","","","","",""
"110_2843",110,"2843","Augochlorella","aurata","female",1.26,1,1.26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"W_lab",NULL,NULL,NULL,NULL,NULL,NULL
"110_tongue2014_110",110,"tongue2014_110","Megachile","frigida","male",NULL,NULL,2.968624499,4.067669711,2.901911961,NULL,"",NULL,1.898067942,2.421903581,NULL,NULL,"J.Zientek","tongue2014","","","","",""
"1100_1998",1100,"1998","Coelioxys","octodentata","female",52,2,2.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MKS","NRCS2010PMC",NULL,NULL,"",NULL,NULL
"1101_1278",1101,"1278","Coelioxys","octodentata","male",57,2,2.85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MKS","NRCS2010PMC",NULL,NULL,"",NULL,NULL
"1102_1931",1102,"1931","Coelioxys","octodentata","male",46,2,2.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MKS","NRCS2010PMC",NULL,NULL,"",NULL,NULL
"1103_1070",1103,"1070","Bombus","griseocollis","female",67,1.5,4.466666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MKS","NRCS2010PMC",NULL,NULL,"",NULL,NULL
"1104_1131",1104,"1131","Bombus","griseocollis","female",70,1.5,4.666666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MKS","NRCS2010PMC",NULL,NULL,"",NULL,NULL
"1105_1142",1105,"1142","Bombus","griseocollis","female",73,1.5,4.866666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MKS","NRCS2010PMC",NULL,NULL,"",NULL,NULL
"1106_1983",1106,"1983","Bombus","griseocollis","female",63,1.5,4.2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MKS","NRCS2010PMC",NULL,NULL,"",NULL,NULL
"1107_1124",1107,"1124","Bombus","griseocollis","female",72,1.5,4.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MKS","NRCS2010PMC",NULL,NULL,"",NULL,NULL
"1108_3241",1108,"3241","Augochlorella","aurata","female",48,3,1.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MKS","NJPA2010",NULL,NULL,"",NULL,NULL
"1109_8033",1109,"8033","Augochlorella","aurata","female",42,3,1.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MKS","NJPA2010",NULL,NULL,"",NULL,NULL
"111_2761",111,"2761","Augochlorella","aurata","female",1.44,1,1.44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"W_lab",NULL,NULL,NULL,NULL,NULL,NULL
