"id",id2,"unique_id","genus","species","sex",observedIT_mu,conversion_factor,ITlength_mm,head_width,head_length,head_depth,"tongue_type",cardo_mm,prementum_mm,glossa_mm,glossa_in_prem,tongue_mm,"measured_by","project","old_uniqueID","pixel_update","notes","note_2","X_val"
"2006_NAT.CIG2012_0829",2006,"NAT.CIG2012_0829","Ceratina","calcarata_dupla_mikmaqi","female",NULL,NULL,1.509,1.88419916,NULL,NULL,"long",0.393,1.209,2.418,NULL,3.627,"BGJ","CIG","BJ_0045",NULL,"",NULL,NULL
"2007_NAT.CIG2012_0830",2007,"NAT.CIG2012_0830","Ceratina","strenua","female",NULL,NULL,0.937,1.369233547,NULL,NULL,"long",0.278,0.762,1.291,NULL,2.053,"GN","CIG","BJ_0154",NULL,"BROKEN",NULL,NULL
"2008_NAT.CIG2012_0831",2008,"NAT.CIG2012_0831","Ceratina","strenua","female",NULL,NULL,0.883,1.256093033,NULL,NULL,"long",0.252,0.738,1.726,NULL,2.464,"GN","CIG","BJ_0180",NULL,"",NULL,NULL
"2009_NAT.CIG2012_0833",2009,"NAT.CIG2012_0833","Ceratina","calcarata_dupla_mikmaqi","female",NULL,NULL,1.506,2.104808685,NULL,NULL,"long",0.388,1.206,2.456,NULL,3.662,"GN","CIG","BJ_0061",NULL,"",NULL,NULL
"201_1909",201,"1909","Colletes","thoracicus","female",3.3,1,3.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"W_lab",NULL,NULL,NULL,NULL,NULL,NULL
"2010_NAT.CIG2012_0843",2010,"NAT.CIG2012_0843","Chrysidinae","unknown",NULL,NULL,NULL,2.238,NULL,NULL,NULL,"short",NULL,0.803,0.843,NULL,1.646,"GN","CIG","DC_0146",NULL,"",NULL,NULL
"2011_NAT.CIG2012_0844",2011,"NAT.CIG2012_0844","Coelioxys","sayi","male",NULL,NULL,2.181,3.027798878,NULL,NULL,"long",0.529,1.052,3.033,NULL,4.085,"GN","CIG","BJ_0153",NULL,"",NULL,NULL
"2012_NAT.CIG2012_0845",2012,"NAT.CIG2012_0845","Coelioxys","hunteri","female",NULL,NULL,2.109,3.010086077,NULL,NULL,"long",0.511,1.124,2.904,NULL,4.028,"GN","CIG","BJ_0362",NULL,"",NULL,NULL
"2013_NAT.CIG2012_0846",2013,"NAT.CIG2012_0846","Coelioxys","octodentata","male",NULL,NULL,2.174,3.020339064,NULL,NULL,"",0.36,1.063,2.644,NULL,3.707,"GN","CIG","DC_0152",NULL,"",NULL,NULL
"2014_NAT.CIG2012_0847",2014,"NAT.CIG2012_0847","Colletes","thoracicus","female",NULL,NULL,3.257,NULL,NULL,NULL,"short",NULL,1.945,0.824,NULL,2.769,"GN","CIG","BJ_0028",NULL,"",NULL,NULL
"2015_NAT.CIG2012_0854",2015,"NAT.CIG2012_0854","Halictus","confusus","female",NULL,NULL,1.392,2.02607188,NULL,NULL,"short",1.338,1.445,0.756,NULL,2.201,"GN","CIG","BJ_0380",NULL,"",NULL,NULL
"2016_NAT.CIG2012_0855",2016,"NAT.CIG2012_0855","Halictus","confusus","female",NULL,NULL,1.297,1.953687839,NULL,NULL,"short",1.216,1.273,0.712,NULL,1.985,"GN","CIG","GN_0321",NULL,"",NULL,NULL
"2017_NAT.CIG2012_0858",2017,"NAT.CIG2012_0858","Halictus","confusus","male",NULL,NULL,1.308,1.730949372,NULL,NULL,"short",1.294,1.439,0.699,NULL,2.138,"BGJ","CIG","BJ_0334",NULL,"",NULL,NULL
"2018_NAT.CIG2012_0863",2018,"NAT.CIG2012_0863","Halictus","ligatus_poeyi","female",NULL,NULL,1.623,2.691255667,NULL,NULL,"short",1.644,1.492,1.106,NULL,2.598,"GN","CIG","DC_0351",NULL,"",NULL,NULL
