"sampleddifferences","tongue","bee","site","sampleround"
-0.939207060645705,2.6008040056457,"Agapostemon_sericeus","URWA",1
13.3295293243543,2.6008040056457,"Agapostemon_sericeus","URWA",1
13.3295293243543,2.6008040056457,"Agapostemon_sericeus","URWA",1
13.3295293243543,2.6008040056457,"Agapostemon_sericeus","URWA",1
13.3295293243543,2.6008040056457,"Agapostemon_sericeus","URWA",1
13.3295293243543,2.6008040056457,"Agapostemon_sericeus","URWA",1
13.3295293243543,2.6008040056457,"Agapostemon_sericeus","URWA",1
-2.6008040056457,2.6008040056457,"Agapostemon_sericeus","URWA",1
-0.939207060645705,2.6008040056457,"Agapostemon_sericeus","URWA",1
13.3295293243543,2.6008040056457,"Agapostemon_sericeus","URWA",1
-0.939207060645705,2.6008040056457,"Agapostemon_sericeus","URWA",1
13.3295293243543,2.6008040056457,"Agapostemon_sericeus","URWA",1
13.3295293243543,2.6008040056457,"Agapostemon_sericeus","URWA",1
-1.4020107466457,2.6008040056457,"Agapostemon_sericeus","URWA",1
13.3295293243543,2.6008040056457,"Agapostemon_sericeus","URWA",1
13.3295293243543,2.6008040056457,"Agapostemon_sericeus","URWA",1
13.3295293243543,2.6008040056457,"Agapostemon_sericeus","URWA",1
13.3295293243543,2.6008040056457,"Agapostemon_sericeus","URWA",1
13.3295293243543,2.6008040056457,"Agapostemon_sericeus","URWA",1
-2.6008040056457,2.6008040056457,"Agapostemon_sericeus","URWA",1
13.3295293243543,2.6008040056457,"Agapostemon_sericeus","URWA",1
0.498864560354295,2.6008040056457,"Agapostemon_sericeus","URWA",1
-0.939207060645705,2.6008040056457,"Agapostemon_sericeus","URWA",1
13.3295293243543,2.6008040056457,"Agapostemon_sericeus","URWA",1
13.3295293243543,2.6008040056457,"Agapostemon_sericeus","URWA",1
-1.1645910936457,2.6008040056457,"Agapostemon_sericeus","URWA",1
13.3295293243543,2.6008040056457,"Agapostemon_sericeus","URWA",1
-2.6008040056457,2.6008040056457,"Agapostemon_sericeus","URWA",1
-2.6008040056457,2.6008040056457,"Agapostemon_sericeus","URWA",1
13.3295293243543,2.6008040056457,"Agapostemon_sericeus","URWA",1
0.242038035354295,2.6008040056457,"Agapostemon_sericeus","URWA",1
13.3295293243543,2.6008040056457,"Agapostemon_sericeus","URWA",1
-0.939207060645705,2.6008040056457,"Agapostemon_sericeus","URWA",1
13.3295293243543,2.6008040056457,"Agapostemon_sericeus","URWA",1
13.3295293243543,2.6008040056457,"Agapostemon_sericeus","URWA",1
13.3295293243543,2.6008040056457,"Agapostemon_sericeus","URWA",1
13.3295293243543,2.6008040056457,"Agapostemon_sericeus","URWA",1
13.3295293243543,2.6008040056457,"Agapostemon_sericeus","URWA",1
0.498864560354295,2.6008040056457,"Agapostemon_sericeus","URWA",1
13.3295293243543,2.6008040056457,"Agapostemon_sericeus","URWA",1
-1.35811926478947,2.79433217678947,"Agapostemon_virescens","URWA",1
2.3594609266588,2.79433217678947,"Agapostemon_virescens","URWA",1
-1.13273523178947,2.79433217678947,"Agapostemon_virescens","URWA",1
2.91960265250994,2.23419045093834,"Augochlora_pura","URWA",1
0.865478115061662,2.23419045093834,"Augochlora_pura","URWA",1
-2.02215721277162,2.02215721277162,"Augochlorella_aurata","URWA",1
3.13163589067666,2.02215721277162,"Augochlorella_aurata","URWA",1
13.9081761172284,2.02215721277162,"Augochlorella_aurata","URWA",1
13.9081761172284,2.02215721277162,"Augochlorella_aurata","URWA",1
13.9081761172284,2.02215721277162,"Augochlorella_aurata","URWA",1
-0.360560267771616,2.02215721277162,"Augochlorella_aurata","URWA",1
13.9081761172284,2.02215721277162,"Augochlorella_aurata","URWA",1
-0.360560267771616,2.02215721277162,"Augochlorella_aurata","URWA",1
13.9081761172284,2.02215721277162,"Augochlorella_aurata","URWA",1
1.81777357122838,2.02215721277162,"Augochlorella_aurata","URWA",1
-0.823363953771616,2.02215721277162,"Augochlorella_aurata","URWA",1
13.9081761172284,2.02215721277162,"Augochlorella_aurata","URWA",1
13.9081761172284,2.02215721277162,"Augochlorella_aurata","URWA",1
13.9081761172284,2.02215721277162,"Augochlorella_aurata","URWA",1
13.9081761172284,2.02215721277162,"Augochlorella_aurata","URWA",1
-0.397859337771616,2.02215721277162,"Augochlorella_aurata","URWA",1
13.9081761172284,2.02215721277162,"Augochlorella_aurata","URWA",1
-0.360560267771616,2.02215721277162,"Augochlorella_aurata","URWA",1
-2.02215721277162,2.02215721277162,"Augochlorella_aurata","URWA",1
1.07751135322838,2.02215721277162,"Augochlorella_aurata","URWA",1
-0.360560267771616,2.02215721277162,"Augochlorella_aurata","URWA",1
1.07751135322838,2.02215721277162,"Augochlorella_aurata","URWA",1
13.9081761172284,2.02215721277162,"Augochlorella_aurata","URWA",1
13.9081761172284,2.02215721277162,"Augochlorella_aurata","URWA",1
-0.360560267771616,2.02215721277162,"Augochlorella_aurata","URWA",1
-2.02215721277162,2.02215721277162,"Augochlorella_aurata","URWA",1
-2.02215721277162,2.02215721277162,"Augochlorella_aurata","URWA",1
13.9081761172284,2.02215721277162,"Augochlorella_aurata","URWA",1
-0.360560267771616,2.02215721277162,"Augochlorella_aurata","URWA",1
3.13163589067666,2.02215721277162,"Augochlorella_aurata","URWA",1
13.9081761172284,2.02215721277162,"Augochlorella_aurata","URWA",1
13.9081761172284,2.02215721277162,"Augochlorella_aurata","URWA",1
13.9081761172284,2.02215721277162,"Augochlorella_aurata","URWA",1
13.9081761172284,2.02215721277162,"Augochlorella_aurata","URWA",1
