Species	Individual	Flower	width	depth
Solidago_juncea 	2	2	0.662467938	2.835715478
Solidago_juncea 	2	3	0.690288616	2.668096521
Solidago_juncea 	2	4	0.63625674	2.884990105
Solidago_juncea 	2	5	0.733894125	2.485735405
Solidago_juncea 	2	6	0.710701257	2.91019542
Solidago_juncea 	3	1	0.663681946	2.564552258
Solidago_juncea 	3	2	0.625820154	2.524760792
Solidago_juncea 	3	3	0.661553344	2.791761845
Solidago_juncea 	3	4	0.556228945	2.441298416
Solidago_juncea 	3	5	0.66966172	2.711381496
Solidago_juncea 	3	6	0.627838391	2.651460114
Solidago_juncea 	4	1	0.586161875	2.501628556
Solidago_juncea 	4	2	0.717608568	2.715402983
Solidago_juncea 	4	3	0.86174001	2.587668825
Solidago_juncea 	4	4	0.73400483	2.373352454
Solidago_juncea 	4	5	0.604299442	2.470500693
Solidago_juncea 	4	6	0.630436382	2.636899851
Solidago_juncea 	5	1	0.649336281	2.514491455
Solidago_juncea 	5	2	0.642809795	2.891711772
Solidago_juncea 	5	3	0.612146553	2.669295541
Solidago_juncea 	5	4	0.575034148	2.807740494
Solidago_juncea 	5	5	0.577354866	2.459657053
Solidago_juncea 	5	6	0.619763738	2.452211886
Swida_amomum	1	1	1.201987581	0.100106277
Swida_amomum	1	2	1.225539474	0.336278541
Swida_amomum	1	3	1.14808821	0.141120948
Swida_amomum	1	4	1.12049882	0.275952489
Swida_amomum	2	1	1.236355864	0.346415713
Swida_amomum	2	2	1.265365344	0.28910799
Swida_amomum	2	3	1.211434635	0.324974368
Swida_amomum	2	4	1.165828942	0.381444479
Swida_amomum	3	2	1.159696225	0.366176385
Swida_amomum	3	3	1.328454252	0.460086929
Swida_amomum	3	4	1.282658487	0.351011162
Swida_amomum	3	5	1.379579866	0.292804856
Swida_amomum	4	1	1.539629666	0.237826026
Swida_amomum	3	1	1.37501337	0.220554683
Swida_amomum	4	2	1.224164007	0.26215013
Swida_amomum	2	1	1.302550984	0.289922438
Swida_amomum	4	3	1.179964098	0.326946279
Swida_amomum	4	4	1.155326273	0.246247782
Swida_amomum	5	1	1.098420495	0.409451142
Swida_amomum	5	2	1.05802986	0.340426402
Swida_amomum	5	3	1.194226649	0.278554908
Swida_amomum	5	4	1.208755574	0.463064723
Ratibida_pinnata	1	1	0.69	2.14
Ratibida_pinnata	1	2	0.72	2.28
Ratibida_pinnata	1	3	0.65	2.43
Ratibida_pinnata	1	4	0.74	2.40
Ratibida_pinnata	1	5	0.74	2.48
Ratibida_pinnata	1	6	0.73	2.14
Ratibida_pinnata	1	7	0.95	1.16
Ratibida_pinnata	1	8	1.11	0.81
Ratibida_pinnata	2	1	0.60	1.98
Ratibida_pinnata	2	2	0.72	2.16
Ratibida_pinnata	2	3	0.76	1.92
Ratibida_pinnata	2	4	0.78	2.13
Ratibida_pinnata	2	5	0.67	2.12
Ratibida_pinnata	2	6	0.69	2.02
Ratibida_pinnata	2	7	0.78	0.76
Ratibida_pinnata	2	8	0.92	0.70
Ratibida_pinnata	2	9	0.84	0.85
Ratibida_pinnata	3	1	0.72	2.54
Ratibida_pinnata	3	2	0.70	2.60
Ratibida_pinnata	3	3	0.77	2.48
Ratibida_pinnata	3	4	0.83	2.35
Ratibida_pinnata	3	5	0.72	2.67
Ratibida_pinnata	3	6	0.86	2.49
Ratibida_pinnata	3	7	1.04	1.12
Ratibida_pinnata	3	8	1.31	1.37
Verbena_urticifolia	1	1	0.88	1.96
Verbena_urticifolia	1	2	0.86	1.98
Verbena_urticifolia	1	3	0.86	2.09
Verbena_urticifolia	1	4	1.00	2.05
Verbena_urticifolia	1	5	0.96	1.97
Verbena_urticifolia	1	6	0.79	1.89
Verbena_urticifolia	2	1	0.84	1.92
Verbena_urticifolia	2	2	0.93	1.97
Verbena_urticifolia	2	3	0.85	1.87
Verbena_urticifolia	2	4	0.78	1.91
