"","genus_species","gs","uniqueID","sc","year","round","fdate","site","AM_PM","transect","treatment","L_R","genus","species","ssp","sex","detby","Taxonomy_notes","det_date","basicID","non_bee_desc1","plant_code.x","plant_genus_2013","plant_species_2013","plant_genus.x","plant_species.x","planted","coll","lat","lon","spec_notes","plant_check1","plant_check2","error_redo","problem.","meanIT","meantongue","plant_code.y","depth","width","plant_genus.y","plant_species.y"
"15","Rudbeckia_hirta","Bombus_impatiens","NAT.CIG2012_0425","2012_ALT",2012,3,"7/27/12","AL","AM",4,"T","L","Bombus","impatiens","","f","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","BGJ",40.926863,-74.813052,"",NA,"","","",4.930735632,9.853144515,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"16","Rudbeckia_hirta","Megachile_mendica","NAT.CIG2012_1257","2012_ABT",2012,2,"7/9/12","AB","PM",3,"T","L","Megachile","mendica","","m","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","BGJ",39.780504,-74.767308,"",NA,"","","",2.838424242,5.090914714,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"17","Rudbeckia_hirta","Halictus_ligatus_poeyi","NAT.CIG2012_0983","2012_DET",2012,4,"8/31/12","DF","AM",1,"T","R","Halictus","ligatus_poeyi","","f","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","GKN",39.9198,-74.790006,"",NA,"","","",1.700098312,2.296858078,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"18","Rudbeckia_hirta","Halictus_ligatus_poeyi","NAT.CIG2012_0966","2012_DET",2012,3,"8/2/12","DF","AM",1,"T","L","Halictus","ligatus_poeyi","","f","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","DPC",39.9198,-74.790006,"",NA,"","","",1.700098312,2.296858078,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"19","Rudbeckia_hirta","Halictus_ligatus_poeyi","NAT.CIG2012_1044","2012_BWT",2012,3,"8/7/12","BW","AM",3,"T","R","Halictus","ligatus_poeyi","","m","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","JWB",39.536073,-74.932563,"",NA,"","","",1.700098312,2.296858078,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"20","Rudbeckia_hirta","Ceratina_calcarata_dupla_mikmaqi","NAT.CIG2012_0691","2012_BWT",2012,1,"6/15/12","BW","PM",3,"T","R","Ceratina","calcarata_dupla_mikmaqi","","f","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","DPC",39.536073,-74.932563,"",NA,"","","",1.433914286,3.010522431,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"21","Rudbeckia_hirta","Ceratina_calcarata_dupla_mikmaqi","NAT.CIG2012_0705","2012_DET",2012,2,"7/3/12","DF","AM",4,"T","R","Ceratina","calcarata_dupla_mikmaqi","","f","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","GKN",39.9198,-74.790006,"",NA,"","","",1.433914286,3.010522431,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"22","Rudbeckia_hirta","Bombus_impatiens","NAT.CIG2012_0657","2012_MAT",2012,2,"6/28/12","MA","PM",3,"T","L","Bombus","impatiens","","f","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","DPC",39.263113,-74.719499,"",NA,"","","",4.930735632,9.853144515,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"23","Rudbeckia_hirta","","NAT.CIG2012_1422","2012_ABT",2012,2,"7/9/12","AB","PM",2,"T","R","","","","","J.Ascher","","0000-00-00","non-bee",NA,"RUHI","0","0","Rudbeckia","hirta","no","DPC",39.780504,-74.767308,"",NA,"","","",NA,NA,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"24","Rudbeckia_hirta","Halictus_ligatus_poeyi","NAT.CIG2012_0939","2012_DET",2012,2,"7/3/12","DF","AM",1,"T","R","Halictus","ligatus_poeyi","","f","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","BGJ",39.9198,-74.790006,"",NA,"","","",1.700098312,2.296858078,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"25","Rudbeckia_hirta","Halictus_ligatus_poeyi","NAT.CIG2012_0993","2012_MAT",2012,1,"6/14/12","MA","AM",4,"T","L","Halictus","ligatus_poeyi","","f","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","DPC",39.263113,-74.719499,"",NA,"","","",1.700098312,2.296858078,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"26","Rudbeckia_hirta","Ceratina_sp","NAT.CIG2012_0818","2012_DET",2012,2,"7/3/12","DF","PM",2,"T","L","Ceratina","sp","","","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","BGJ",39.9198,-74.790006,"",NA,"","","",NA,NA,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"27","Rudbeckia_hirta","Halictus_ligatus_poeyi","NAT.CIG2012_0879","2012_ALT",2012,3,"7/27/12","AL","PM",4,"T","R","Halictus","ligatus_poeyi","","f","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","BGJ",40.926863,-74.813052,"",NA,"","","",1.700098312,2.296858078,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"28","Rudbeckia_hirta","Halictus_ligatus_poeyi","NAT.CIG2012_0888","2012_BWT",2012,2,"7/2/12","BW","AM",2,"T","R","Halictus","ligatus_poeyi","","f","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","GKN",39.536073,-74.932563,"",NA,"","","",1.700098312,2.296858078,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
