bees,sp.abund,sp.occur,stud.occ,Status_NA,source_Status_NA,Body_length_Mitchell,source_Body_length_Mitchell,Nest_place,source_Nest_place,Nest_construction,source_Nest_construction,Nest_materials,source_Nest_materials,habitat_specialist,source_habitat_specialist,Sociality,source_Sociality,Parasitic,source_Parasitic,Lecticity,source_Lecticity,Voltinism,source_Voltinism
Osmia_albiventris,1,1,1,NorthEast,,8,,hole,,Non_excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Osmia_sandhouseae,1,1,1,Native,,NA,,hole,,NA,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Perdita_bradleyi,1,1,1,NorthEast,,6,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Pseudopanurgus_andrenoides,1,1,1,NorthEast,,6,,soil,,Excavator,,NA,,No,,Solitary,,No,,Oligolectic,,NA,
Pseudopanurgus_compositarum,4,1,1,NorthEast,,7,,soil,,Excavator,,NA,,No,,Solitary,,No,,Oligolectic,,NA,
Pseudopanurgus_rudbeckiae,1,1,1,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Sphecodes_brachycephalus,1,1,1,Native,,NA,,soil,,Non_excavator,,NA,,NA,,Solitary,,Yes,,Polylectic,,NA,
Sphecodes_coronus,1,1,1,NorthEast,,NA,,soil,,Non_excavator,,NA,,No,,Solitary,,Yes,,Polylectic,,NA,
Sphecodes_cressonii,28,1,1,NorthEast,,NA,,soil,,Non_excavator,,NA,,No,,Solitary,,Yes,,Polylectic,,NA,
Sphecodes_davisii,1,1,1,NorthEast,,NA,,soil,,Non_excavator,,NA,,No,,Solitary,,Yes,,Polylectic,,NA,
Sphecodes_pimpinellae,1,1,1,NorthEast,,NA,,soil,,Non_excavator,,NA,,No,,Solitary,,Yes,,Polylectic,,NA,
Stelis_labiata,1,1,1,NorthEast,,8,,hole,,Non_excavator,,NA,,No,,Solitary,,Yes,,Polylectic,,NA,
Stelis_lateralis,1,1,1,NorthEast,,5.5,,hole,,Non_excavator,,NA,,No,,Solitary,,Yes,,Polylectic,,NA,
Trachusa_dorsalis,7,1,1,Native,,NA,,soil,,Excavator,,NA,,NA,,Solitary,,No,,Polylectic,,NA,
Triepeolus_cressonii,1,1,1,Native,,NA,,soil,,Non_excavator,,NA,,NA,,Solitary,,Yes,,Polylectic,,NA,
Triepeolus_lunatus,1,1,1,NorthEast,,NA,,soil,,Non_excavator,,NA,,No,,Solitary,,Yes,,Polylectic,,NA,
Andrena_ilicis,2,2,2,NorthEast,,NA,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Andrena_placata,2,2,1,NorthEast,,NA,,soil,,Excavator,,NA,,No,,Solitary,,No,,Oligolectic,,NA,
Andrena_rudbeckiae,2,2,1,NorthEast,,13,,soil,,Excavator,,NA,,No,,Solitary,,No,,NA,,NA,
