bees,sp.abund,sp.occur,stud.occ,Status_NA,source_Status_NA,Body_length_Mitchell,source_Body_length_Mitchell,Nest_place,source_Nest_place,Nest_construction,source_Nest_construction,Nest_materials,source_Nest_materials,habitat_specialist,source_habitat_specialist,Sociality,source_Sociality,Parasitic,source_Parasitic,Lecticity,source_Lecticity,Voltinism,source_Voltinism
Andrena_nuda,45,14,4,NorthEast,,10,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Lasioglossum_coeruleum,18,14,5,NorthEast,,7,,wood,,Excavator,,NA,,No,,Eusocial,,No,,Polylectic,,Multivoltine,
Andrena_perplexa,22,15,5,NorthEast,,13,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,Suspected_univoltine,
Lasioglossum_callidum,37,15,6,NorthEast,,NA,,soil,,Excavator,,NA,,No,,Eusocial,,No,,Polylectic,,NA,
Lasioglossum_oceanicum,66,15,7,NorthEast,,7,,soil,,Excavator,,NA,,No,,Eusocial,,No,,Polylectic,,Multivoltine,
Megachile_rotundata,28,16,6,Exotic,,8.5,,hole,,Non_excavator,,leaf,,No,,Solitary,,No,,Polylectic,,Suspected_multivoltine,
Nomada_luteoloides,91,16,2,NorthEast,,NA,,soil,,Non_excavator,,NA,,No,,Solitary,,Yes,,Polylectic,,NA,
Melitta_americana,276,17,1,NorthEast,,NA,,soil,,Excavator,,NA,,No,,Solitary,,No,,Oligolectic,,NA,
Bombus_citrinus,36,18,6,NorthEast,,14,,cavity,,Non_excavator,,NA,,No,,Solitary,,Yes,,Polylectic,,NA,
Lasioglossum_coriaceum,28,18,7,NorthEast,,9,,soil,,Excavator,,NA,,No,,fac_social,,No,,Polylectic,,Suspected_multivoltine,
Osmia_atriventris,28,18,3,NorthEast,,8,,hole,,Non_excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Osmia_cornifrons,41,18,4,Exotic,,NA,,hole,,Non_excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Sphecodes_aroniae,30,18,5,NorthEast,,NA,,soil,,Non_excavator,,NA,,No,,Solitary,,Yes,,Polylectic,,NA,
Andrena_erigeniae,983,19,2,NorthEast,,8,,soil,,Excavator,,NA,,No,,Solitary,,No,,Oligolectic,,Univoltine,
Apis_mellifera,191,19,7,Exotic,,NA,,cavity,,Non_excavator,,NA,,No,,Eusocial,,No,,Polylectic,,NA,
Bombus_fervidus,42,19,7,NorthEast,,10.55,,cavity,,Non_excavator,,NA,,No,,Eusocial,,No,,Polylectic,,Multivoltine,
Lasioglossum_leucocomum,660,19,6,NorthEast,,NA,,soil,,Excavator,,NA,,No,,Eusocial,,No,,Polylectic,,NA,
Colletes_thoracicus,37,20,6,NorthEast,,13,,soil,,Excavator,,NA,,Sand,,Solitary,,No,,Polylectic,,Suspected_univoltine,
Lasioglossum_bruneri,37,20,5,NorthEast,,6.5,,soil,,Excavator,,NA,,No,,Eusocial,,No,,Polylectic,,Multivoltine,
Melissodes_bimaculata,160,20,5,NorthEast,,14,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Nomada_maculata,38,20,4,NorthEast,,9.75,,soil,,Non_excavator,,NA,,No,,Solitary,,Yes,,Polylectic,,NA,
Peponapis_pruinosa,266,20,7,NorthEast,,13.25,,soil,,Excavator,,NA,,No,,Solitary,,No,,Oligolectic,,NA,
Colletes_validus,162,21,2,NorthEast,,13.5,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,Suspected_univoltine,
Halictus_rubicundus,50,21,7,NorthEast,,NA,,soil,,Excavator,,NA,,No,,fac_social,,No,,Polylectic,,Multivoltine,
Agapostemon_texanus,366,22,6,NorthEast,,11,,soil,,Excavator,,NA,,No,,fac_social,,No,,Polylectic,,Suspected_multivoltine,
Lasioglossum_obscurum,39,22,6,NorthEast,,6,,soil,,Excavator,,NA,,No,,Eusocial,,No,,Polylectic,,Multivoltine,
Lasioglossum_leucozonium,92,23,5,Exotic,,8,,soil,,Excavator,,NA,,No,,fac_social,,No,,Polylectic,,Suspected_multivoltine,
Nomada_pygmaea,77,23,4,NorthEast,,7.5,,soil,,Non_excavator,,NA,,No,,Solitary,,Yes,,Polylectic,,NA,
Hylaeus_mesillae,152,24,5,NorthEast,,4,,hole,,Non_excavator,,NA,,No,,Solitary,,No,,Polylectic,,Multivoltine,
Lasioglossum_fuscipenne,47,24,5,NorthEast,,9,,soil,,Excavator,,NA,,No,,fac_social,,No,,Polylectic,,Suspected_multivoltine,
Andrena_cressonii,74,25,5,NorthEast,,NA,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,Suspected_univoltine,
Andrena_wilkella,100,25,7,Exotic,,11,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,Univoltine,
Andrena_bradleyi,236,26,3,NorthEast,,10,,soil,,Excavator,,NA,,No,,Solitary,,No,,Oligolectic,,Univoltine,
Andrena_nasonii,143,28,6,NorthEast,,8,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Augochloropsis_metallica,115,28,9,NorthEast,,9,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Bombus_vagans,84,28,4,NorthEast,,6,,cavity,,Non_excavator,,NA,,No,,Eusocial,,No,,Polylectic,,Multivoltine,
Lasioglossum_cressonii,68,28,6,NorthEast,,6.5,,wood,,Excavator,,NA,,No,,Eusocial,,No,,Polylectic,,Multivoltine,
Lasioglossum_trigeminum,92,28,7,NorthEast,,NA,,soil,,Excavator,,NA,,No,,Eusocial,,No,,Polylectic,,NA,
Osmia_virga,108,28,3,NorthEast,,7.75,,hole,,Non_excavator,,NA,,No,,Solitary,,No,,Oligolectic,,NA,
Andrena_imitatrix,66,29,7,NorthEast,,10,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,Suspected_univoltine,
Andrena_miserabilis,69,29,5,NorthEast,,7.5,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,Suspected_univoltine,
Lasioglossum_ephialtum,86,29,6,NorthEast,,NA,,soil,,Excavator,,NA,,No,,Eusocial,,No,,Polylectic,,NA,
Colletes_inaequalis,84,30,5,NorthEast,,12.5,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,Suspected_univoltine,
Lasioglossum_oblongum,85,30,7,NorthEast,,5.75,,wood,,Excavator,,NA,,No,,Eusocial,,No,,Polylectic,,Multivoltine,
Lasioglossum_weemsi,66,31,10,NorthEast,,NA,,soil,,Excavator,,NA,,No,,Eusocial,,No,,Polylectic,,NA,
Lasioglossum_illinoense,177,32,7,NorthEast,,5,,soil,,Excavator,,NA,,No,,Eusocial,,No,,Polylectic,,Multivoltine,
Calliopsis_andreniformis,121,33,7,NorthEast,,7,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,Suspected_multivoltine,
Habropoda_laboriosa,156,33,4,NorthEast,,15.75,,soil,,Excavator,,NA,,No,,Solitary,,No,,Oligolectic,,Suspected_univoltine,
Megachile_mendica,412,33,7,NorthEast,,12,,hole,,Non_excavator,,leaf,,No,,Solitary,,No,,Polylectic,,Suspected_multivoltine,
Lasioglossum_imitatum,642,36,8,NorthEast,,4,,soil,,Excavator,,NA,,No,,Eusocial,,No,,Polylectic,,Multivoltine,
Andrena_vicina,127,38,6,NorthEast,,13,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,Suspected_univoltine,
Lasioglossum_pectorale,149,39,6,NorthEast,,6,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,Multivoltine,
Lasioglossum_hitchensi,256,40,9,NorthEast,,NA,,soil,,Excavator,,NA,,No,,Eusocial,,No,,Polylectic,,NA,
Andrena_carlini,145,42,5,NorthEast,,14,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,Suspected_univoltine,
Hylaeus_affinis_modestus,281,42,9,NorthEast,,NA,,hole,,Non_excavator,,NA,,No,,Solitary,,No,,Polylectic,,Suspected_multivoltine,
Lasioglossum_versatum,577,47,11,NorthEast,,6,,soil,,Excavator,,NA,,Sand,,Eusocial,,No,,Polylectic,,Suspected_multivoltine,
Halictus_confusus,395,48,9,NorthEast,,7,,soil,,Excavator,,NA,,No,,fac_social,,No,,Polylectic,,Multivoltine,
Agapostemon_virescens,1901,51,8,NorthEast,,11,,soil, ,Excavator,,NA,,No,,fac_social,,No,,Polylectic,,Suspected_multivoltine,
Bombus_perplexus,287,54,7,NorthEast,,13,,cavity,,Non_excavator,,NA,,No,,Eusocial,,No,,Polylectic,,Multivoltine,
Lasioglossum_subviridatum,467,54,8,NorthEast,,NA,,wood,,Excavator,,NA,,No,,Eusocial,,No,,Polylectic,,NA,
Osmia_pumila,168,57,7,NorthEast,,8,,hole,,Non_excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Ceratina_strenua,397,60,8,NorthEast,,5.75,,stem,,Excavator,,NA,,No,,fac_social,,No,,Polylectic,,Suspected_multivoltine,
Lasioglossum_pilosum,678,60,10,NorthEast,,6,,soil,,Excavator,,NA,,No,,Eusocial,,No,,Polylectic,,Multivoltine,
Halictus_ligatus_poeyi,1732,63,8,NorthEast,,NA,,soil,,Excavator,,NA,,No,,Eusocial,,No,,Polylectic,,Multivoltine,
Lasioglossum_tegulare,372,69,8,NorthEast,,5,,soil,,Excavator,,NA,,No,,Eusocial,,No,,Polylectic,,Suspected_multivoltine,
Bombus_griseocollis,2079,72,9,NorthEast,,13.75,,cavity,,Non_excavator,,NA,,No,,Eusocial,,No,,Polylectic,,Multivoltine,
Augochlora_pura,628,73,12,NorthEast,,8,,wood,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Xylocopa_virginica,723,83,10,NorthEast,,21,,wood,,Excavator,,NA,,No,,fac_social,,No,,Polylectic,,Multivoltine,
Augochlorella_aurata,825,86,12,NorthEast,,5.5,,soil,,Excavator,,NA,,No,,Eusocial,,No,,Polylectic,,Multivoltine,
Bombus_bimaculatus,1326,88,11,NorthEast,,11,,cavity,,Non_excavator,,NA,,No,,Eusocial,,No,,Polylectic,,Multivoltine,
Bombus_impatiens,4183,100,12,NorthEast,,12.25,,cavity,,Non_excavator,,NA,,No,,Eusocial,,No,,Polylectic,,Multivoltine,
Ceratina_calcarata_dupla_mikmaqi,1847,105,12,NorthEast,,NA,,stem,,Excavator,,NA,,No,,fac_social,,No,,Polylectic,,Suspected_multivoltine,
