uniqueID,sc,year,round,fdate,site,AM_PM,transect,treatment,L_R,genus,species,gs,,sex,detby,Taxonomy_notes,det_date,basicID,non_bee_desc1,plant_code,plant_genus_2013,plant_species_2013,plant_genus,plant_species,genus_species,planted,coll,lat,lon,spec_notes,plant_check1,plant_check2,error_redo,
XCIG2013_2546,2013_URWAC,2013,1,6/21/13,URWA,AM,2,C,,Ceratina,dupla,Ceratina_dupla,,f,J_Gibbs,,0000-00-00,bee,,LEVU,Leucanthemum,vulgare,Leucanthemum,vulgare,Leucanthemum_vulgare,no,MR,40.701794,-74.700673,,NULL,,,
XCIG2013_2547,2013_URWAC,2013,1,6/21/13,URWA,AM,2,C,,Ceratina,strenua,Ceratina_strenua,,f,J_Gibbs,,0000-00-00,bee,,LEVU,Leucanthemum,vulgare,Leucanthemum,vulgare,Leucanthemum_vulgare,no,MR,40.701794,-74.700673,,NULL,,,
XCIG2013_2548,2013_URWAC,2013,1,6/21/13,URWA,PM,2,C,,Hoplitis,producta_seeTN,Hoplitis_producta_seeTN,,f,J_Gibbs,cf,0000-00-00,bee,,PEDI,Penstemon,digitalis,Penstemon,digitalis,Penstemon_digitalis,no,MR,40.701794,-74.700673,det_not_100percent,NULL,,,
XCIG2013_2549,2013_URWAC,2013,1,6/21/13,URWA,PM,2,C,,Bombus,bimaculatus,Bombus_bimaculatus,,f,J_Gibbs,,0000-00-00,bee,,PEDI,Penstemon,digitalis,Penstemon,digitalis,Penstemon_digitalis,no,MR,40.701794,-74.700673,,NULL,,,
XCIG2013_2550,2013_URWAC,2013,1,6/21/13,URWA,PM,2,C,,Bombus,bimaculatus,Bombus_bimaculatus,,f,J_Gibbs,,0000-00-00,bee,,PEDI,Penstemon,digitalis,Penstemon,digitalis,Penstemon_digitalis,no,MR,40.701794,-74.700673,,NULL,,,
NCIG2013_2340,2013_BVT,2013,1,6/12/13,BW,PM,2,T,R,unkown,unkown,unkown_unkown,,,,,0000-00-00,wasp,Striped_black_yellow_butt_wasp__,ERAN,Erigeron,annuus,Erigeron,annuus,Erigeron_annuus,no,MR,39.536073,-74.932563,,NULL,,,
XCIG2013_2552,2013_URWAC,2013,1,6/21/13,URWA,PM,1,C,,Bombus,griseocollis,Bombus_griseocollis,,f,J_Gibbs,,0000-00-00,bee,,APCA,Apocynum,cannabinum,Apocynum,cannabinum,Apocynum_cannabinum,no,SM,40.701794,-74.700673,,NULL,,,
XCIG2013_2553,2013_URWAC,2013,1,6/21/13,URWA,PM,2,C,,Ceratina,strenua,Ceratina_strenua,,f,J_Gibbs,,0000-00-00,bee,,LEVU,Leucanthemum,vulgare,Leucanthemum,vulgare,Leucanthemum_vulgare,no,MR,40.701794,-74.700673,,NULL,,,
XCIG2013_2554,2013_URWAC,2013,1,6/21/13,URWA,PM,2,C,,Ceratina,dupla_seeTN,Ceratina_dupla_seeTN,,f,J_Gibbs,cf,0000-00-00,bee,,LEVU,Leucanthemum,vulgare,Leucanthemum,vulgare,Leucanthemum_vulgare,no,MR,40.701794,-74.700673,det_not_100percent,NULL,,,
XCIG2013_2555,2013_URWAC,2013,1,6/21/13,URWA,PM,2,C,,Ceratina,strenua,Ceratina_strenua,,f,J_Gibbs,,0000-00-00,bee,,LEVU,Leucanthemum,vulgare,Leucanthemum,vulgare,Leucanthemum_vulgare,no,MR,40.701794,-74.700673,,NULL,,,
XCIG2013_2556,2013_URWAC,2013,1,6/21/13,URWA,PM,2,C,,Ceratina,strenua,Ceratina_strenua,,f,J_Gibbs,,0000-00-00,bee,,LEVU,Leucanthemum,vulgare,Leucanthemum,vulgare,Leucanthemum_vulgare,no,MR,40.701794,-74.700673,,NULL,,,
XCIG2013_2557,2013_URWAT,2013,1,6/21/13,URWA,AM,2,T,,Hylaeus,affinis,Hylaeus_affinis,,f,J_Gibbs,,0000-00-00,bee,,APCA,Apocynum,cannabinum,Apocynum,cannabinum,Apocynum_cannabinum,no,MR,40.703892,-74.700793,,NULL,,,
NCIG2013_2341,2013_BVT,2013,1,6/12/13,BW,PM,2,T,R,Lasioglossum,sp,Lasioglossum_sp,,m,J_Gibbs,,0000-00-00,bee,,ERAN,Erigeron,annuus,Erigeron,annuus,Erigeron_annuus,no,MR,39.536073,-74.932563,species_unknown,NULL,,,
XCIG2013_2653,2013_BVT,2013,2,7/5/13,BW,PM,2,T,,Bombus,perplexus,Bombus_perplexus,,m,J_Gibbs,,0000-00-00,bee,,ERAN,Erigeron,annuus,Erigeron,annuus,Erigeron_annuus,no,MR,39.536073,-74.932563,,NULL,,,
XCIG2013_2560,2013_URWAT,2013,1,6/21/13,URWA,PM,1,T,,Bombus,fervidus,Bombus_fervidus,,f,J_Gibbs,,0000-00-00,bee,,PEDI,Penstemon,digitalis,Penstemon,digitalis,Penstemon_digitalis,yes,SM,40.703892,-74.700793,,NULL,,,
