"","X1","X2"
"1","2012_AB_1","-0.9"
"2","2012_AB_3","0"
"3","2012_AB_4","-0.5"
"4","2012_AL_1","0.6"
"5","2012_AL_2","0.678571428571428"
"6","2012_AL_3","0.0762770071396474"
"7","2012_AL_4","0.542857142857143"
"8","2012_BW_1","1"
"9","2012_BW_2","0.257142857142857"
"10","2012_BW_3","-0.359092423229804"
"11","2012_BW_4","0.657142857142857"
"12","2012_DF_2","0.5"
"13","2012_DF_3","-0.8"
"14","2012_DF_4","-0.737864787372622"
"15","2012_MA_1","0.214285714285714"
"16","2012_MA_2","0.179643939286989"
"17","2012_MA_3","0.5"
"18","2012_RO_1","0.285714285714286"
"19","2012_RO_2","0.679878048780488"
"20","2012_RO_3","-0.142857142857143"
"21","2012_RO_4","0.706599494528823"
"22","2013_AB_1","-0.5"
"23","2013_AB_2","-1"
"24","2013_AL_1","0.1"
"25","2013_AL_2","0.28571560552963"
"26","2013_AL_3","0.096660957714228"
"27","2013_AL_4","-0.111803398874989"
"28","2013_BO_3","0.5"
"29","2013_BW_1","1"
"30","2013_BW_2","0.904761904761905"
"31","2013_BW_3","0.738095238095238"
"32","2013_DR_1","0.8"
"33","2013_DR_2","0.9"
"34","2013_DR_3","0.720749970156447"
"35","2013_DR_4","0.2"
"36","2013_FH_2","0.511692368529078"
"37","2013_FH_3","0.269230769230769"
"38","2013_FH_4","0.0952380952380952"
"39","2013_MU_1","0.0487950036474267"
"40","2013_MU_2","0.368204059852518"
"41","2013_MU_3","0.334730963502289"
"42","2013_PU_1","0.8"
"43","2013_PU_2","0.704186850828046"
"44","2013_PU_3","0.378393734332135"
"45","2013_RL_1","-0.866025403784439"
"46","2013_RL_2","0.231908414260979"
"47","2013_RL_3","0.287430302859182"
"48","2013_RL_4","0.059881313095663"
"49","2013_RO_1","0.5"
"50","2013_RO_2","0.19047619047619"
"51","2013_RO_3","0.666693722394714"
"52","2013_RO_4","0.874267171196679"
"53","2013_SH_1","0.119158646188434"
"54","2013_SH_2","0.478608676331971"
"55","2013_SH_3","0.948683298050514"
"56","2013_SH_4","0.9"
"57","2013_URWA_1","-0.0857142857142857"
"58","2013_URWA_2","0.706599494528823"
"59","2013_URWA_3","0.948683298050514"
"60","2014_AB_2","0.7"
"61","2014_AB_3","0.6"
"62","2014_AL_3","0.609937545592833"
"63","2014_AL_4","0.2"
"64","2014_BW_1","1"
"65","2014_BW_2","0.761904761904762"
"66","2014_BW_3","0.0285714285714286"
"67","2014_DO_1","0.594618725379069"
"68","2014_DO_2","1"
"69","2014_DR_1","-0.5"
"70","2014_DR_2","0.8"
"71","2014_DR_3","1"
"72","2014_DR_4","-1"
"73","2014_FH_2","0.666693722394714"
"74","2014_FH_3","-0.0585779186129006"
"75","2014_FH_4","0.5"
"76","2014_MA_1","0.8"
"77","2014_MA_2","-0.5"
"78","2014_ME_1","0.5"
"79","2014_ME_2","1"
"80","2014_ME_3","0.4"
"81","2014_RO_2","0.900937462695559"
"82","2014_RO_3","0"
"83","2014_RO_4","0.614457831325301"
"84","2014_SH_1","1"
"85","2014_SH_2","0.609937545592833"
"86","2014_SH_3","0.974679434480896"
"87","2014_SH_4","0.7"
"88","2014_UR_1","0.559065392019675"
"89","2014_UR_2","0.1"
"90","2014_UR_3","0.5"
