"","genus_species","gs","X","uniqueID","sc","year","round","fdate","site","AM_PM","transect","treatment","L_R","genus","species","ssp","sex","detby","Taxonomy_notes","det_date","basicID","non_bee_desc1","plant_code.x","plant_genus_2013","plant_species_2013","plant_genus.x","plant_species.x","planted","coll","lat","lon","spec_notes","plant_check1","plant_check2","error_redo","problem.","Problem","status","project","meanIT","meantongue","plant_code.y","depth","width","plant_genus.y","plant_species.y"
"298","Monarda_fistulosa","Bombus_impatiens",9411,"NCIG2013_6170","2013_RandLT",2013,3,"8/5/13","RL","AM",3,"T","L","Bombus","impatiens",NA,"f","J_Gibbs","","11/11/13","bee",1,"MOFI","Monarda","fistulosa","Monarda","fistulosa","yes","GP",39.856018,-77.373964,"",3,NA,"","",NA,"CHECK","Davis_CIG",4.930735632,9.853144515,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
"299","Monarda_fistulosa","Bombus_bimaculatus",1434,"NAT.CIG2012_0080","2012_ABT",2012,2,"7/9/12","AB","AM",2,"T","L","Bombus","bimaculatus","","m","J.Ascher","","11/11/12","bee",NA,"MOFI","Monarda","fistulosa","Monarda","fistulosa","yes","DPC",39.780504,-74.767308,"",NA,"","","",NA,"CHECK","Davis_CIG",4.348418605,8.733286243,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
"300","Monarda_fistulosa","Bombus_bimaculatus",7797,"NCIG2013_3678","2013_FHT",2013,2,"7/8/13","FH","PM",2,"T","L","Bombus","bimaculatus",NA,"f","J_Gibbs","","11/11/13","bee",1,"MOFI","Monarda","fistulosa","Monarda","fistulosa","yes","MR",40.695583,-74.755843,"",3,NA,"","",NA,"CHECK","Davis_NJ_CIG",4.348418605,8.733286243,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
"301","Monarda_fistulosa","Bombus_griseocollis",3299,"XCIG2014_1671","2014_DRT",2014,2,"7/7/14","DR","PM",1,"T","NULL","Bombus","griseocollis",NA,"f","Gibbs","","12/1/14","bee",NA,"MOFI",NA,NA,"Monarda","fistulosa",NA,"MR",40.298445,-74.56289,NA,NA,NA,NA,NA,NA,"ANSP 2015","NJ_CIG",4.992607843,9.971809194,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
"302","Monarda_fistulosa","Bombus_griseocollis",3300,"XCIG2014_1672","2014_DRT",2014,2,"7/7/14","DR","PM",1,"T","NULL","Bombus","griseocollis",NA,"m","Gibbs","","12/1/14","bee",NA,"MOFI",NA,NA,"Monarda","fistulosa",NA,"MR",40.298445,-74.56289,NA,NA,NA,NA,NA,NA,"ANSP 2015","NJ_CIG",4.992607843,9.971809194,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
"303","Monarda_fistulosa","Bombus_impatiens",8242,"NCIG2013_4009","2013_RandLT",2013,2,"7/16/13","RL","PM",1,"T","L","Bombus","impatiens",NA,"f","J_Gibbs","","11/11/13","bee",1,"MOFI","Monarda","fistulosa","Monarda","fistulosa","yes","GP",39.856018,-77.373964,"",3,NA,"","",NA,"CHECK","Davis_CIG",4.930735632,9.853144515,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
"304","Monarda_fistulosa","Bombus_impatiens",9419,"NCIG2013_6178","2013_RandLT",2013,3,"8/5/13","RL","AM",3,"T","L","Bombus","impatiens",NA,"f","J_Gibbs","","11/11/13","bee",1,"MOFI","Monarda","fistulosa","Monarda","fistulosa","yes","GP",39.856018,-77.373964,"",3,NA,"","",NA,"CHECK","Davis_CIG",4.930735632,9.853144515,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
"305","Monarda_fistulosa","Bombus_bimaculatus",11514,"XCIG2013_2379","2013_ABT",2013,2,"6/27/13","AB","AM",1,"T","","Bombus","bimaculatus",NA,"m","J_Gibbs","","11/11/13","bee",1,"MOFI","Monarda","fistulosa","Monarda","fistulosa","yes","GP",39.780504,-74.767308,"",3,NA,"",NA,NA,"CHECK","Davis_NJ_CIG",4.348418605,8.733286243,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
"306","Monarda_fistulosa","Ceratina_calcarata",2091,"NAT.CIG2012_0738","2012_ROC",2012,3,"7/24/12","RO","AM",2,"C","R","Ceratina","calcarata","","f","J. Gibbs","","11/11/12","bee",NA,"MOFI","Monarda","fistulosa","Monarda","fistulosa","no","BGJ",40.885194,-75.013669,"",NA,"","","",NA,"KEPT","Davis_CIG",1.261979592,2.663114517,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
"307","Monarda_fistulosa","Ceratina_calcarata",6513,"XCIG2015_6315","2015_FHT",2015,3,"7/28/15","FH","PM",1,"T",NA,"Ceratina","calcarata",NA,"f","J. Gibbs","","11/11/15","bee",28,"MOFI",NA,NA,"Monarda","fistulosa",NA,"JZ",40.69558,-74.75584,NA,NA,NA,NA,NA,NA,"KEPT","NJ_CIG",1.261979592,2.663114517,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
"308","Monarda_fistulosa","Bombus_impatiens",9659,"NCIG2013_6356","2013_RandLT",2013,3,"8/5/13","RL","PM",4,"T","L","Bombus","impatiens",NA,"m","J_Gibbs","","11/11/13","bee",1,"MOFI","Monarda","fistulosa","Monarda","fistulosa","yes","GP",39.856018,-77.373964,"",3,NA,"","",NA,"CHECK","Davis_CIG",4.930735632,9.853144515,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
"309","Monarda_fistulosa","Bombus_impatiens",8814,"NCIG2013_3806","2013_FHC",2013,3,"7/26/13","FH","AM",4,"C","R","Bombus","impatiens",NA,"f","J_Gibbs","","11/11/13","bee",1,"MOFI","Monarda","fistulosa","Monarda","fistulosa","no","SM",40.694391,-74.754039,"",3,NA,"","",NA,"CHECK","Davis_CIG",4.930735632,9.853144515,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
"310","Monarda_fistulosa","Ceratina_calcarata",6501,"XCIG2015_6199","2015_FHC",2015,3,"7/28/15","FH","PM",2,"C",NA,"Ceratina","calcarata",NA,"f","J. Gibbs","","11/11/15","bee",28,"MOFI",NA,NA,"Monarda","fistulosa",NA,"JZ",40.69439,-74.75404,NA,NA,NA,NA,NA,NA,"KEPT","NJ_CIG",1.261979592,2.663114517,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
"311","Monarda_fistulosa","Bombus_impatiens",10392,"XCIG2013_5928","2013_MAT",2013,2,"7/5/13","MA","PM",1,"T","","Bombus","impatiens",NA,"f","J_Gibbs","","11/11/13","bee",1,"MOFI","Monarda","fistulosa","Monarda","fistulosa","yes","SM",39.263113,-74.719499,"",3,NA,"",NA,NA,"CHECK","Davis_NJ_CIG",4.930735632,9.853144515,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
