site,observer,collection_date,plant_genus,plant_species,individual_plant,inf_number,flower_number,c_width_px,c_depth1_px,c_depth2_px,c_depth3_px,c_width_mm,c_width_mm_calipers,c_depth1_mm,c_depth2_mm,magnification,flower_type,photo_reference,plant_code,,**make sure all measurement photos are saved in jp2 format
NENE,,30-Jun,Trifolium,campestre,,1,4,194.62,984.12,,,0.662935624,,3.352215633,0,1,pea,,TRCA5,,
NENE,,30-Jun,Trifolium,campestre,,1,5,209.32,878.42,,,0.713008349,,2.992168898,0,1,pea,,TRCA5,,
NENE,,30-Jun,Trifolium,campestre,,2,1,222.14,924.24,,,0.756677215,,3.148245922,0,1,pea,,TRCA5,,
NENE,,30-Jun,Trifolium,campestre,,2,2,250.86,872.98,,,0.854506375,,2.973638584,0,1,pea,,TRCA5,,
NENE,,30-Jun,Trifolium,campestre,,2,3,240.83,816.75,,,0.820341108,,2.782101896,0,1,pea,,TRCA5,,
NENE,,30-Jun,Trifolium,campestre,,2,4,220.99,933.92,,,0.752759961,,3.181218981,0,1,pea,,TRCA5,,
NENE,,30-Jun,Trifolium,campestre,,2,5,188.31,793.1,,,0.641441822,,2.701542717,0,1,pea,,TRCA5,,
HP,ES,6-Jul,Cichorium,intybus,a,1,1,250.52,598.79,,,0.85334823,,2.039663048,0,1,ray,,CIIN,,
HP,ES,6-Jul,Cichorium,intybus,a,1,2,249.9,684.47,,,0.851236319,,2.3315155,0,1,ray,,CIIN,,
HP,ES,6-Jul,Cichorium,intybus,a,1,3,269.29,656.25,,,0.917284628,,2.235389494,0,1,ray,,CIIN,,
HP,ES,6-Jul,Cichorium,intybus,a,1,4,251.21,712.44,,,0.855698583,,2.42678993,0,1,ray,,CIIN,,
HP,ES,6-Jul,Cichorium,intybus,a,1,5,226.44,530.52,,,0.771324338,,1.807114414,0,1,ray,,CIIN,,
HP,ES,6-Jul,Cichorium,intybus,a,2,1,274.2,857.79,,,0.934009599,,2.921896768,0,1,ray,,CIIN,,
HP,ES,6-Jul,Cichorium,intybus,a,2,2,269.3,828.41,,,0.917318691,,2.821819445,0,1,ray,,CIIN,,
HP,ES,6-Jul,Cichorium,intybus,a,2,3,286.43,720.11,,,0.975668743,,2.45291631,0,1,ray,,CIIN,,
HP,ES,6-Jul,Cichorium,intybus,a,2,4,273.54,532.34,,,0.931761436,,1.813313895,0,1,ray,,CIIN,,
HP,ES,6-Jul,Cichorium,intybus,a,2,5,266.94,697.12,,,0.909279804,,2.374605294,0,1,ray,,CIIN,,
HP,JZ,6-Jul,Erigeron,annuus,a,1,1,102.51,947.25,,,0.174590306,,1.613312532,,2,ray,,,,
HP,RT,6-Jul,Erigeron,annuus,a,1,2,95.06,1011.5,,,0.16190181,,1.72274017,,2,ray,,,measured to top of achene,
HP,RT,6-Jul,Erigeron,annuus,a,1,3,287.41,1061.38,,,0.489503463,,1.807693487,,2,disc,,,,
HP,RT,6-Jul,Erigeron,annuus,a,1,4,379.7,1562.31,,,0.431125024,,1.773902913,,3,disc,,,,
HP,RT,6-Jul,Erigeron,annuus,a,2,1,141.7,833.95,,,0.160891272,,0.946896797,,3,ray,,,,
HP,RT,6-Jul,Erigeron,annuus,a,2,2,104.79,946.04,,,0.178473497,,1.611251716,,2,ray,,,,
HP,RT,6-Jul,Erigeron,annuus,a,2,3,282.6,1409.09,,,0.481311292,,2.39989713,,2,disc,,,,
HP,RT,6-Jul,Erigeron,annuus,a,2,4,260.19,1034.09,,,0.443143613,,1.761214417,,2,disc,,,,
HP,RT,6-Jul,Erigeron,annuus,b,1,1,145.33,1034.03,,,0.247519356,,1.761112228,,2,ray,,,,
HP,RT,6-Jul,Erigeron,annuus,b,1,2,143.74,652.03,,,0.244811342,,1.110507438,,2,ray,,,measured to top of achene. All rays following meas correctly,
HP,RT,6-Jul,Erigeron,annuus,b,1,3,289.15,1423.39,,,0.49246695,,2.42425223,,2,disc,,,,
HP,RT,6-Jul,Erigeron,annuus,b,1,4,315.15,1447.89,,,0.536748952,,2.465979501,,2,disc,,,,
HP,RT,6-Jul,Erigeron,annuus,b,2,1,90.54,583.1,,,0.154203554,,0.993109039,,2,ray,,,,
HP,RT,6-Jul,Erigeron,annuus,b,2,2,113.65,692.87,,,0.193563441,,1.180064243,,2,ray,,,,
HP,RT,6-Jul,Erigeron,annuus,b,2,3,241.87,1211.84,,,0.411941834,,2.063950023,,2,disc,,,,
HP,RT,6-Jul,Erigeron,annuus,b,2,4,252.73,1138.4,,,0.430438085,,1.9388704,,2,disc,,,,
HP,RT,6-Jul,Erigeron,annuus,c,1,1,160.11,605.98,,,0.272691971,,1.032077201,,2,ray,,,,
HP,RT,6-Jul,Erigeron,annuus,c,1,2,141.52,521.99,,,0.24103034,,0.889029304,,2,ray,,,,
HP,RT,6-Jul,Erigeron,annuus,c,1,3,272.95,1260.94,,,0.464875857,,2.147574879,,2,disc,,,,
HP,RT,6-Jul,Erigeron,annuus,c,1,4,286.9,1162.59,,,0.488634854,,1.980069693,,2,disc,,,,
HP,RT,6-Jul,Erigeron,annuus,c,2,1,133.47,553.23,,,0.227319951,,0.942235832,,2,ray,,,,
HP,RT,6-Jul,Erigeron,annuus,c,2,2,124.2,574.35,,,0.211531714,,0.978206443,,2,ray,,,,
HP,RT,6-Jul,Erigeron,annuus,c,2,3,287.99,1021.49,,,0.490491292,,1.739754678,,2,disc,ERAN_c2_3and4,,these were really good examples of what kinds of flowers to measure,
HP,RT,6-Jul,Erigeron,annuus,c,2,4,283,985.78,,,0.481992554,,1.678935052,,2,disc,,,,
HS,JZ,7-Jul,Ascelpias,syriaca,a,1,1,562.88,624.66,,,1.917342535,,2.127784231,,1,corona,ASSY_a_1_1,,,
HS,JZ,7-Jul,Ascelpias,syriaca,a,1,2,600.96,662.53,,,2.047054736,,2.256781107,,1,corona,,,,
HS,JZ,7-Jul,Ascelpias,syriaca,a,2,1,576.19,562.33,,,1.962680492,,1.915469066,,1,corona,,,,
HS,JZ,7-Jul,Ascelpias,syriaca,a,2,2,607.42,557.28,,,2.069059484,,1.898267211,,1,corona,,,,
HS,JZ,7-Jul,Ascelpias,syriaca,b,1,1,658.63,683.63,,,2.243496507,,2.328654202,,1,corona,,,,
HS,JZ,7-Jul,Ascelpias,syriaca,b,1,2,672.37,684.71,,,2.290299176,,2.332333014,,1,corona,ASSY_b1_2,,,
HS,JZ,7-Jul,Ascelpias,syriaca,b,2,1,650.6,634.06,,,2.216143855,,2.159803524,,1,corona,,,,
HS,JZ,7-Jul,Ascelpias,syriaca,b,2,2,641.4,640.42,,,2.184805823,,2.181467642,,1,corona,,,,
HS,JZ,7-Jul,Ascelpias,syriaca,c,1,1,666.62,699.65,,,2.270712906,,2.383223253,,1,corona,,,,
HS,JZ,7-Jul,Ascelpias,syriaca,c,1,2,686.75,665.06,,,2.339281882,,2.265399066,,1,corona,,,,
HS,JZ,7-Jul,Ascelpias,syriaca,c,2,1,682.69,715.48,,,2.325452273,,2.437145105,,1,corona,,,,
HS,JZ,7-Jul,Ascelpias,syriaca,c,2,2,654.46,657.21,,,2.229292203,,2.23865955,,1,corona,,,,
SS,JZ,7-Jul,Ascelpias,syriaca,d,1,1,660.92,636.81,,,2.251296952,,2.169170871,,1,corona,,,,
SS,JZ,7-Jul,Ascelpias,syriaca,d,1,2,670.2,674.07,,,2.282907488,,2.296089899,,1,corona,,,,
SS,JZ,7-Jul,Ascelpias,syriaca,d,2,1,691.05,674.08,,,2.353929006,,2.296123962,,1,corona,,,,
SS,JZ,7-Jul,Ascelpias,syriaca,d,2,2,683.21,647.14,,,2.327223553,,2.20435803,,1,corona,,,,
SS,ES,7-Jul,Apocynum,cannabinum,a,1,1,625.34,744.69,,,2.13010052,,2.536643356,,1,corona,APCA_a_1_1,APCA,,
SS,ES,7-Jul,Apocynum,cannabinum,a,1,2,655.23,778.4,,,2.23191506,,2.651469992,,1,corona,,APCA,,
SS,ES,7-Jul,Apocynum,cannabinum,a,1,3,702.03,814.58,,,2.391330265,,2.774710208,,1,corona,,APCA,,
SS,ES,7-Jul,Apocynum,cannabinum,a,2,1,628.88,964.51,,,2.14215885,,3.285417937,,1,corona,,APCA,,
SS,ES,7-Jul,Apocynum,cannabinum,a,2,2,664.97,786.24,,,2.265092498,,2.678175445,,1,corona,,APCA,,
SS,ES,7-Jul,Apocynum,cannabinum,a,2,3,734.02,747.89,,,2.500298052,,2.547543541,,1,corona,,APCA,,
SS,ES,7-Jul,Apocynum,cannabinum,b,1,1,658.78,882.4,,,2.244007453,,3.005726003,,1,corona,APCA_b_1_1,APCA,,
SS,ES,7-Jul,Apocynum,cannabinum,b,1,2,650.8,821.93,,,2.216825117,,2.799746571,,1,corona,,APCA,,
SS,ES,7-Jul,Apocynum,cannabinum,b,1,3,520.75,898.93,,,1.773834787,,3.062032271,,1,corona,,APCA,,
SS,ES,7-Jul,Apocynum,cannabinum,b,2,1,649.68,927.89,,,2.213010052,,3.160678945,,1,corona,,APCA,,
SS,ES,7-Jul,Apocynum,cannabinum,b,2,2,642.8,859.01,,,2.189574654,,2.926052464,,1,corona,,APCA,,
SS,ES,7-Jul,Apocynum,cannabinum,b,2,3,653.11,837.48,,,2.224693688,,2.852714657,,1,corona,,APCA,,
SS,ES,7-Jul,Apocynum,cannabinum,c,1,1,589.31,832.44,,,2.00737125,,2.835546866,,1,corona,,APCA,,
SS,ES,7-Jul,Apocynum,cannabinum,c,1,2,612.44,599.54,,,2.08615915,,2.042217779,,1,corona,,APCA,,
SS,ES,7-Jul,Apocynum,cannabinum,c,1,3,627.1,801.75,,,2.136095622,,2.731007279,,1,corona,,APCA,,
SS,ES,7-Jul,Apocynum,cannabinum,c,2,1,688.43,970.99,,,2.345004479,,3.307490811,,1,corona,,APCA,,
SS,ES,7-Jul,Apocynum,cannabinum,c,2,2,568.53,747.61,,,1.936588174,,2.546589775,,1,corona,,APCA,,
SS,ES,7-Jul,Apocynum,cannabinum,c,2,3,680.75,788.92,,,2.318844035,,2.68730435,,1,corona,,APCA,,
SS,ES,8-Jul,Apocynum,cannabinum,d,1,1,660.06,924.65,,,2.248367527,,3.149642508,,1,corona,,APCA,,
SS,ES,8-Jul,Apocynum,cannabinum,d,1,2,651.17,857.48,,,2.218085451,,2.920840813,,1,corona,,APCA,,
SS,ES,8-Jul,Apocynum,cannabinum,d,1,3,624.91,1096.25,,,2.128635808,,3.734164927,,1,corona,,APCA,,
SS,ES,8-Jul,Apocynum,cannabinum,d,2,1,683.38,993.28,,,2.327802625,,3.383417412,,1,corona,,APCA,,
SS,ES,8-Jul,Apocynum,cannabinum,d,2,2,710.64,881.21,,,2.420658576,,3.001672497,,1,corona,,APCA,,
SS,ES,8-Jul,Apocynum,cannabinum,d,2,3,704.98,924.97,,,2.401378873,,3.150732526,,1,corona,,APCA,,
SS,ES,8-Jul,Apocynum,cannabinum,e,1,1,450.02,869.68,,,1.532906637,,2.962397768,,1,corona,,APCA,,
SS,ES,8-Jul,Apocynum,cannabinum,e,1,2,565.04,991.81,,,1.92470016,,3.37841014,,1,corona,,APCA,,
SS,ES,8-Jul,Apocynum,cannabinum,e,1,3,640.1,768.03,,,2.180377623,,2.61614658,,1,corona,,APCA,,
SS,ES,8-Jul,Apocynum,cannabinum,e,2,1,290.63,441.86,,,0.989975236,,1.505111165,,1,corona,,APCA,,
SS,ES,8-Jul,Apocynum,cannabinum,e,2,2,595.26,696.56,,,2.027638781,,2.372697762,,1,corona,,APCA,,
SS,ES,8-Jul,Apocynum,cannabinum,e,2,3,708.42,786.47,,,2.413096572,,2.678958896,,1,corona,,APCA,,
NENE,ES,8-Jul,Ascelpias,tuberosa,a,1,1,483.94,577.53,,,1.648448597,,1.967244944,,1,,,,,
NENE,RT,8-Jul,Ascelpias,tuberosa,a,1,2,494.26,540.53,,,1.683601694,,1.841211556,,1,,,,,
NENE,RT,8-Jul,Ascelpias,tuberosa,a,2,1,478.08,564.96,,,1.628487633,,1.924427655,,1,,,,,
NENE,RT,8-Jul,Ascelpias,tuberosa,a,2,2,461.55,570.51,,,1.572181365,,1.943332663,,1,,,,,
NENE,RT,8-Jul,Ascelpias,tuberosa,b,1,1,544.86,537.64,,,1.855960868,,1.831367326,,1,,,,,
NENE,RT,8-Jul,Ascelpias,tuberosa,b,1,2,571.29,571.26,,,1.945989584,,1.945887394,,1,,,,,
NENE,RT,8-Jul,Ascelpias,tuberosa,b,2,1,551.71,588.59,,,1.879294077,,2.004918708,,1,,,,,
NENE,RT,8-Jul,Ascelpias,tuberosa,b,2,2,555.26,539.03,,,1.891386469,,1.836102094,,1,,,,,
