uniqueID,sc,year,round,fdate,site,AM_PM,transect,treatment,L_R,genus,species,gs,ssp,sex,detby,Taxonomy_notes,det_date,basicID,non_bee_desc1,plant_code,plant_genus_2013,plant_species_2013,plant_genus,plant_species,genus_species,planted,coll,lat,lon,spec_notes,plant_check1,plant_check2,error_redo,problem?
NAT.CIG2012_0154,2012_ABC,2012,1,6/19/12,AB,AM,2,C,R,Bombus,griseocollis,Bombus_griseocollis,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,DPC,39.772882,-74.772184,,,,,
NAT.CIG2012_0155,2012_ABC,2012,1,6/19/12,AB,AM,2,C,L,Bombus,griseocollis,Bombus_griseocollis,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,DPC,39.772882,-74.772184,,,,,
NAT.CIG2012_0156,2012_ABC,2012,1,6/19/12,AB,AM,2,C,L,Bombus,griseocollis,Bombus_griseocollis,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,DPC,39.772882,-74.772184,,,,,
NAT.CIG2012_0157,2012_ABC,2012,1,6/19/12,AB,AM,2,C,L,Bombus,griseocollis,Bombus_griseocollis,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,DPC,39.772882,-74.772184,,,,,
NAT.CIG2012_0158,2012_ABC,2012,1,6/19/12,AB,AM,2,C,L,Bombus,griseocollis,Bombus_griseocollis,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,DPC,39.772882,-74.772184,,,,,
NAT.CIG2012_0159,2012_ABC,2012,1,6/19/12,AB,AM,2,C,L,Bombus,griseocollis,Bombus_griseocollis,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,DPC,39.772882,-74.772184,,,,,
NAT.CIG2012_0160,2012_ABC,2012,1,6/19/12,AB,AM,2,C,L,Bombus,griseocollis,Bombus_griseocollis,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,DPC,39.772882,-74.772184,,,,,
NAT.CIG2012_0161,2012_ABC,2012,1,6/19/12,AB,AM,2,C,L,Bombus,griseocollis,Bombus_griseocollis,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,DPC,39.772882,-74.772184,,,,,
NAT.CIG2012_0162,2012_ABC,2012,1,6/19/12,AB,AM,2,C,L,Bombus,griseocollis,Bombus_griseocollis,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,DPC,39.772882,-74.772184,,,,,
NAT.CIG2012_0163,2012_ABC,2012,1,6/19/12,AB,AM,2,C,L,Bombus,griseocollis,Bombus_griseocollis,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,DPC,39.772882,-74.772184,,,,,
NAT.CIG2012_0309,2012_ABC,2012,1,6/19/12,AB,AM,2,C,L,Bombus,griseocollis,Bombus_griseocollis,,f,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,DPC,39.772882,-74.772184,,,,,
NAT.CIG2012_1382,2012_ABC,2012,1,6/19/12,AB,AM,2,C,R,Xylocopa,virginica,Xylocopa_virginica,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,DPC,39.772882,-74.772184,,,,,
NAT.CIG2012_0198,2012_ABC,2012,1,6/19/12,AB,PM,1,C,R,Bombus,griseocollis,Bombus_griseocollis,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,GKN,39.772882,-74.772184,,,,,
NAT.CIG2012_0196,2012_ABC,2012,1,6/19/12,AB,PM,1,C,R,Bombus,griseocollis,Bombus_griseocollis,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,GKN,39.772882,-74.772184,,,,,
NAT.CIG2012_0197,2012_ABC,2012,1,6/19/12,AB,PM,1,C,R,Bombus,griseocollis,Bombus_griseocollis,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,GKN,39.772882,-74.772184,,,,,
NAT.CIG2012_0199,2012_ABC,2012,1,6/19/12,AB,PM,1,C,R,Bombus,griseocollis,Bombus_griseocollis,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,GKN,39.772882,-74.772184,,,,,
NAT.CIG2012_0200,2012_ABC,2012,1,6/19/12,AB,PM,1,C,R,Bombus,griseocollis,Bombus_griseocollis,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,GKN,39.772882,-74.772184,,,,,
